Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
A SERENITA (ACCUEIL DE JOUR),17604,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 52 29 96,AVENUE MARECHAL MONCEY,20090,AJACCIO,-
ABBE MARCEL DEHOUX EHPAD,6436,,Aurore Auffret,EHPAD,Bretagne,02  99 76 32 31,17 Rue de la Fontaine,35680,BAIS,-
ABRAPA REICHSHOFFEN EHPAD,5441,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 05 89 99,"1, place de la Liberté",67110,REICHSHOFFEN,-
ACANTHE EHPAD,2659,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 41 21 21,3 rue Francis Jammes,64200,BIARRITZ,-
ADELAIDE EHPAD,5575,EMERA,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 08 50 00,1 rue Emile Romanet,74000,ANNECY,-
ADINA EHPAD,9412,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 51 69 00,Impasse Adina,64310,ASCAIN,-
ADINDUNEN EHPAD,3341,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 37 06 77,1 place sainte Eulalie,64220,ST JEAN PIED DE PORT,-
AGELIA EHPAD,7735,EMERA,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 62 09 19,22 RUE JEAN JAURES,73000,CHAMBERY,-
ALBERT ARTILLAND EHPAD,5160,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 65 64 14,186 Chem. des Florans,84410,BEDOIN,-
ALBERT MORLOT EHPAD,3875,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 78 94 06 10,2 rue Nicolas Copernic,69150,DECINES CHARPIEU,-
ALEXANDRA EHPAD,7948,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 63 43 85,10 CHEMIN PIERRE VEZZOSO,83190,OLLIOULES,-
ALEXANDRE PLANCHER RESIDENCE,12548,,Aurore Auffret,EHPAD,Bretagne,02 40 78 25 25,14 Allée du Parc des Mahaudieres,44400,REZE,-
AMBROISIE EHPAD,2658,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 41 20 61,8 avenue Hautin,64200,BIARRITZ,-
ANDREE ROCHEFORT EHPAD,2120,,Aurore Auffret,EHPAD,Bretagne,02 40 62 30 30,10 boulevard de Civanam,44510,LE POULIGUEN,-
ANNA HAMILTON RESIDENCE EHPAD,4042,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 23 46 23,Fondation Maison de Santé Protestante,33760,TARGON,-
ARC EN CIEL EHPAD,1275,COLISEE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 16 40 00,12 rue Marie Louise Dissard,31300,TOULOUSE,-
