Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
A SERENITA (ACCUEIL DE JOUR),17604,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 52 29 96,AVENUE MARECHAL MONCEY,20090,AJACCIO,-,8.734326,41.930714,0.9232476767676767,,Avenue Maréchal MONCEY 20090 Ajaccio,street,2A004_0869,,Avenue Maréchal MONCEY,Avenue Maréchal MONCEY,20090,Ajaccio,"2A, Corse-du-Sud, Corse",2A004,,,,ok
ABBE MARCEL DEHOUX EHPAD,6436,,Aurore Auffret,EHPAD,Bretagne,02  99 76 32 31,17 Rue de la Fontaine,35680,BAIS,-,-1.291608,48.01007,0.90065,0.6450935537190082,17 Rue de la Fontaine 35680 Bais,housenumber,35014_0035_00017,17,17 Rue de la Fontaine,Rue de la Fontaine,35680,Bais,"35, Ille-et-Vilaine, Bretagne",35014,,,,ok
ABRAPA REICHSHOFFEN EHPAD,5441,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 05 89 99,"1, place de la Liberté",67110,REICHSHOFFEN,-,7.665719,48.934083,0.9008663636363635,0.7467344186046511,1 Place de la Liberte 67110 Reichshoffen,housenumber,67388_1280_00001,1,1 Place de la Liberte,Place de la Liberte,67110,Reichshoffen,"67, Bas-Rhin, Grand Est",67388,,,,ok
ACANTHE EHPAD,2659,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 41 21 21,3 rue Francis Jammes,64200,BIARRITZ,-,-1.555311,43.462039,0.9114628571428571,,3 Rue Francis Jammes 64200 Biarritz,housenumber,64122_0669_00003,3,3 Rue Francis Jammes,Rue Francis Jammes,64200,Biarritz,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64122,,,,ok
ADELAIDE EHPAD,5575,EMERA,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 08 50 00,1 rue Emile Romanet,74000,ANNECY,-,6.123242,45.907914,0.905840909090909,,1 Rue Émile Romanet 74000 Annecy,housenumber,74010_0780_00001,1,1 Rue Émile Romanet,Rue Émile Romanet,74000,Annecy,"74, Haute-Savoie, Auvergne-Rhône-Alpes",74010,74010,Annecy,,ok
ADINA EHPAD,9412,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 51 69 00,Impasse Adina,64310,ASCAIN,-,-1.617774,43.346789,0.8787681118881119,,Impasse Adina 64310 Ascain,street,64065_0600,,Impasse Adina,Impasse Adina,64310,Ascain,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64065,,,,ok
ADINDUNEN EHPAD,3341,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 37 06 77,1 place sainte Eulalie,64220,ST JEAN PIED DE PORT,-,-1.235867,43.165213,0.7027588429752065,,Rue Sainte-Eulalie 64220 Saint-Jean-Pied-de-Port,street,64485_0141,,Rue Sainte-Eulalie,Rue Sainte-Eulalie,64220,Saint-Jean-Pied-de-Port,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64485,,,,ok
AGELIA EHPAD,7735,EMERA,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 62 09 19,22 RUE JEAN JAURES,73000,CHAMBERY,-,5.91157,45.570875,0.7564117224880383,,22 Avenue Jean Jaurès 73000 Chambéry,housenumber,73065_2040_00022,22,22 Avenue Jean Jaurès,Avenue Jean Jaurès,73000,Chambéry,"73, Savoie, Auvergne-Rhône-Alpes",73065,,,,ok
ALBERT ARTILLAND EHPAD,5160,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 65 64 14,186 Chem. des Florans,84410,BEDOIN,-,5.177689,44.126553,0.7448132467532467,,Chemin des Florans 84410 Bédoin,street,84017_0156,,Chemin des Florans,Chemin des Florans,84410,Bédoin,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84017,,,,ok
ALBERT MORLOT EHPAD,3875,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 78 94 06 10,2 rue Nicolas Copernic,69150,DECINES CHARPIEU,-,4.94094,45.767638,0.9155314141414141,,2 Rue Nicolas Copernic 69150 Décines-Charpieu,housenumber,69275_a060_00002,2,2 Rue Nicolas Copernic,Rue Nicolas Copernic,69150,Décines-Charpieu,"69, Rhône, Auvergne-Rhône-Alpes",69275,,,,ok
ALEXANDRA EHPAD,7948,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 63 43 85,10 CHEMIN PIERRE VEZZOSO,83190,OLLIOULES,-,5.877666,43.138317,0.9134363636363636,0.5751093939393939,10 Chemin Pierre Vezzoso 83190 Ollioules,housenumber,83090_j3d1sb_00010,10,10 Chemin Pierre Vezzoso,Chemin Pierre Vezzoso,83190,Ollioules,"83, Var, Provence-Alpes-Côte d'Azur",83090,,,,ok
ALEXANDRE PLANCHER RESIDENCE,12548,,Aurore Auffret,EHPAD,Bretagne,02 40 78 25 25,14 Allée du Parc des Mahaudieres,44400,REZE,-,-1.5624,47.187453,0.9197985200845666,,14 Allée du Parc des Mahaudières 44400 Rezé,housenumber,44143_2807_00014,14,14 Allée du Parc des Mahaudières,Allée du Parc des Mahaudières,44400,Rezé,"44, Loire-Atlantique, Pays de la Loire",44143,,,,ok
AMBROISIE EHPAD,2658,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 41 20 61,8 avenue Hautin,64200,BIARRITZ,-,-1.555871,43.47664,0.6480362337662338,,8 Rue du Hautin 64200 Biarritz,housenumber,64122_0855_00008,8,8 Rue du Hautin,Rue du Hautin,64200,Biarritz,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64122,,,,ok
ANDREE ROCHEFORT EHPAD,2120,,Aurore Auffret,EHPAD,Bretagne,02 40 62 30 30,10 boulevard de Civanam,44510,LE POULIGUEN,-,-2.433839,47.277459,0.9125690476190474,,10 Boulevard de Civanam 44510 Le Pouliguen,housenumber,44135_0350_00010,10,10 Boulevard de Civanam,Boulevard de Civanam,44510,Le Pouliguen,"44, Loire-Atlantique, Pays de la Loire",44135,,,,ok
ANNA HAMILTON RESIDENCE EHPAD,4042,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 23 46 23,Fondation Maison de Santé Protestante,33760,TARGON,-,-0.25311,44.753116,0.36453382126348227,0.3517074331550802,Route de Sauveterre 33760 Targon,street,33523_0234,,Route de Sauveterre,Route de Sauveterre,33760,Targon,"33, Gironde, Nouvelle-Aquitaine",33523,,,,ok
