Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
++ L'OUSTALADO FOYER DE VIE,9011,ADAPEI,Dorian SANCHEZ,EMS,Sud-Est,04 66 85 67 28,1377 ROUTE DE MAZAC,30340,SALINDRES,-
A FUNTANELLA FAM HD2A,9286,,Dorian SANCHEZ,EMS,Sud-Est,04 95 23 63 32,ROUTE D'ALATA,20000,AJACCIO,-
A SORTIR DE LA POSTE PHARMACIE NE PLUS UTILISER,3464,,Laurent DURIEUX,PHARMACIE,Val de Loire,,,17800,PONS,-
A.E.I.M. DE TOUL,6479,,Celine LUCION,EMS,Grand Nord-Est,03 83 62 65 50,4 Bis avenue du Président Kennedy,54200,TOUL,-
ABBASSI PHARMACIE,17226,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 72 37 54 00,61 Rte de Genas,69120,VAULX EN VELIN,-
ABCHIR PHARMACIE,13788,GIPHAR,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 68 43 65 68,32 rue des Pradines,11200,FABREZAN,-
AD SENIORS LYON CABINET INFIRMIER,13321,,Aurelien COURTOISIER,AMBULATOIRE,Centre-Est,09 72 89 11 43,28 rue Jules Brunuard,69007,LYON 07,-
ADAPEI 36 - ST MAUR,13335,ADAPEI,Laurent DURIEUX,EMS,Val de Loire,02 54 34 85 84,2 avenue de la Foret,36250,ST MAUR,-
ADAPEI DES HAUTS DE CLAIREFONTAINE,11448,ADAPEI,Herve QUELO,EMS,Centre Auvergne,04 73 90 11 74,104 Rue de l'Oradou,63000,CLERMONT FERRAND,-
ADAPEI DU PUY DE DOME,8871,ADAPEI,Herve QUELO,EMS,Centre Auvergne,,249 Rue de Blanzat,63000,CLERMONT FERRAND,-
ADSEA 05 MECS,18036,ADSEA,Dorian SANCHEZ,EMS,Sud-Est,04 92 57 90 67,LES TERRASSES DES GAUDIS,05400,LA ROCHE DES ARNAUDS,-
ADSEA05 GAP FAM,16148,ADSEA,Dorian SANCHEZ,EMS,Sud-Est,04 92 44 15 23,72 rte des eyssagnieres,05000,GAP,-
ADSEA05 GAP FDV,11033,ADSEA,Dorian SANCHEZ,EMS,Sud-Est,04 92 51 27 20,72 ROUTE DES EYSSAGNIERES,05000,GAP,-
ADSEA05 GAP SAMA MNA,16672,ADSEA,Dorian SANCHEZ,EMS,Sud-Est,0787835271,Le grand champ,05000,ROMETTE,-
AFEJI MAISON D'ENFANCE,17447,,Celine LUCION,EMS,Grand Nord-Est,03.27.56.30.94,108 AVEUE DE CONDE,59300,VALENCIENNES,-
AGEI BEZOUOTTE FOYER,2253,,Aurelien COURTOISIER,EMS,Centre-Est,03 80 36 59 59,Rue de la forge,21310,BEZOUOTTE,-
AGEI RENEVE,2164,,Aurelien COURTOISIER,EMS,Centre-Est,03 80 47 71 31,rue de la fontaine,21310,RENEVE,-
ALAPH LE HAMEAU DE LA PIERRE LONGUE,8496,,Aurore Auffret,EMS,Bretagne,02 99 09 92 78,26 Rue de Montfort,35750,IFFENDIC,-
ALTER EGAUX LA SENTINELLE,5527,,Celine LUCION,EMS,Grand Nord-Est,03 27 47 48 06,126 RUE LEON GAMBETTA,59174,LA SENTINELLE,-
AMAVITA LA POSTE PHARMACIE,2546,,Export,PHARMACIE,Export,0041 588 513 036,GALENICARE SA,2400,LE LOCLE,-
AMAVITA PHARMACIE,2107,,Export,PHARMACIE,Export,0041 58 851 30 44,Galenicare SA,2900,PORRENTRUY,-
ANDREIN-ECHEVERRIA PHARMACIE,3408,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 29 60 35,"7, place Verdun",64240,HASPARREN,-
ANRAS ECHAPEE VERTE,17740,,Caroline VILLEMUR,EMS,Sud-Ouest,05 63 48 75 60,78 avenue du Loirat,81000,ALBI,-
