Nom;Numero;TypeVoie;VilleCP;adresse;code_postal;commune;longitude;latitude;result_score;result_score_next;result_label;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
EHPAD L'AMBARROISE AMBERIEU;58;AV;01500 AMBERIEU EN BUGEY;58 AV;1500;AMBERIEU EN BUGEY;5.341405;45.957662;0.5534642424242423;0.5423656771799629;58 Avenue Paul Painlevé 01500 Ambérieu-en-Bugey;housenumber;01004_0480_00058;58;58 Avenue Paul Painlevé;Avenue Paul Painlevé;1500;Ambérieu-en-Bugey;01, Ain, Auvergne-Rhône-Alpes;1004;;;;ok
EHPAD LE CLOS CHEVALIER ORNEX;7;R;01210 ORNEX;7 R;1210;ORNEX;6.095938;46.276411;0.6829851948051947;0.4656066666666666;Ornex;municipality;1281;;Ornex;;1210;Ornex;01, Ain, Auvergne-Rhône-Alpes;1281;;;;ok
EHPAD LA ROSE DES VENTS;1289;R;01480 JASSANS RIOTTIER;1289 R;1480;JASSANS RIOTTIER;4.762284;45.981709;0.5596005128205128;0.5480951515151514;Rue Pasteur 01480 Jassans-Riottier;street;01194_0440;;Rue Pasteur;Rue Pasteur;1480;Jassans-Riottier;01, Ain, Auvergne-Rhône-Alpes;1194;;;;ok
EHPAD L'OREE DES SAPINS (CHPH);;R;01110 PLATEAU D HAUTEVILLE; R;1110;PLATEAU D HAUTEVILLE;5.534209;45.901742;0.7078188452088451;0.7032206633906634;Rue du Four 01110 Plateau d'Hauteville;street;01185_0701;;Rue du Four;Rue du Four;1110;Plateau d'Hauteville;01, Ain, Auvergne-Rhône-Alpes;1185;1186;Hostiaz;;ok
EHPAD LES HELLEBORES GROISSIAT;1;PL;01100 GROISSIAT;1 PL;1100;GROISSIAT;5.615903;46.22708;0.6971619138755979;0.5536714141414141;Groissiat;municipality;1181;;Groissiat;;1100;Groissiat;01, Ain, Auvergne-Rhône-Alpes;1181;;;;ok
EHPAD CHATEAU D'ANGEVILLE;;R;01110 PLATEAU D HAUTEVILLE; R;1110;PLATEAU D HAUTEVILLE;5.534209;45.901742;0.7078188452088451;0.7032206633906634;Rue du Four 01110 Plateau d'Hauteville;street;01185_0701;;Rue du Four;Rue du Four;1110;Plateau d'Hauteville;01, Ain, Auvergne-Rhône-Alpes;1185;1186;Hostiaz;;ok
EHPAD LA MAISON D'ARBENT;11;R;01100 ARBENT;11 R;1100;ARBENT;5.680225;46.287264;0.5703946153846152;0.516138526645768;11 Rue Mozart 01100 Arbent;housenumber;01014_0109_00011;11;11 Rue Mozart;Rue Mozart;1100;Arbent;01, Ain, Auvergne-Rhône-Alpes;1014;;;;ok
EHPAD DE DIVONNE DU CH DU PAYS DE GEX;131;ALL;01220 DIVONNE LES BAINS;131 ALL;1220;DIVONNE LES BAINS;6.141848;46.346204;0.6443253719008264;0.617445256916996;131 Allee des Frenes 01220 Divonne-les-Bains;housenumber;01143_0393_00131;131;131 Allee des Frenes;Allee des Frenes;1220;Divonne-les-Bains;01, Ain, Auvergne-Rhône-Alpes;1143;;;;ok
EHPAD LE CHATEAU DE GREX CORBONOD;402;R;01420 CORBONOD;402 R;1420;CORBONOD;5.809339;45.969222;0.4844923824451411;0.45135536656891495;Grande Rue 01420 Corbonod;street;01118_0260;;Grande Rue;Grande Rue;1420;Corbonod;01, Ain, Auvergne-Rhône-Alpes;1118;;;;ok
EHPAD RESIDENCE FONTELUNE AMBERIEU;10;R;01500 AMBERIEU EN BUGEY;10 R;1500;AMBERIEU EN BUGEY;5.35444;45.957295;0.6356805827505828;0.6354696736596737;10 Rue Truchon 01500 Ambérieu-en-Bugey;housenumber;01004_0640_00010;10;10 Rue Truchon;Rue Truchon;1500;Ambérieu-en-Bugey;01, Ain, Auvergne-Rhône-Alpes;1004;;;;ok
